Unnamed: 0	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Cluster-2.30564	5000.55366192023	-9.84735211997812	0.537872106036719	-18.30798066949	7.14715186751131e-75	2.36584212006827e-72
Cluster-2.42473	778.934600911541	-5.56934134685732	0.305734891655772	-18.2162438729037	3.83600012731007e-74	1.22361429515505e-71
Cluster-5621.0	495.68062578264	-7.72014899324715	0.42987658857	-17.9589891576289	4.08173410653111e-72	1.2563147923681e-69
Cluster-2.9067	2312.30518646899	-9.71750504923081	0.542641499616178	-17.9077808389226	1.0254313098073e-71	2.99836114987654e-69
Cluster-2.41804	2085.13458389273	-6.25953321055022	0.349776883093731	-17.895788753063	1.27183255843618e-71	3.65787383691875e-69
Cluster-2.2384	820.519097517872	-6.44940379646175	0.36262106298904	-17.7855189748222	9.15121225526593e-71	2.58949786784493e-68
Cluster-2.3120	1536.31149004854	-7.82907794652719	0.441779443677702	-17.7216890884558	2.85218297162807e-70	7.58162091730952e-68
Cluster-12117.0	499.502791769166	-5.33105993539578	0.305041650791311	-17.4764984439549	2.16385486323396e-68	5.5018361913879e-66
Cluster-2.10855	3404.79571199412	-10.6513602224918	0.621107947488737	-17.148967849401	6.39787386347037e-66	1.53759313781814e-63
Cluster-2.17298	1840.90873363095	-5.63674329581256	0.329994250031266	-17.0813379180955	2.04378235657915e-65	4.84542130592226e-63
Cluster-2.20134	3893.50857466367	-8.44714472478005	0.497386143657308	-16.9830720708617	1.09596085425169e-64	2.56367163026555e-62
Cluster-2.42243	10273.3264044581	-5.99949851613532	0.3551841095512	-16.8912357135461	5.21982054899345e-64	1.1893056066433901e-61
Cluster-2.55532	632.187950667867	-5.86990382481573	0.347534709024508	-16.8901225471606	5.31924092563104e-64	1.1964200358880902e-61
Cluster-2.51645	3917.59257673953	-5.03875366700576	0.299314247587668	-16.8343261559239	1.3673613609600701e-63	2.9986234645854303e-61
Cluster-9694.0	1547.98106919577	-5.26975894607243	0.313799479061114	-16.7933960943451	2.72779235615839e-63	5.9081961847460304e-61
Cluster-2.36252	1147.96912694663	-5.10024815019096	0.308249891076055	-16.5458230411266	1.7160335864706902e-61	3.50070851640021e-59
Cluster-9193.0	455.614213811751	-7.08845085480984	0.440900148595216	-16.0772249167864	3.6852109511960706e-58	6.73472301331081e-56
Cluster-2.33407	1921.51861224141	-7.37495046862675	0.462498850168749	-15.9458784944782	3.04330227311689e-57	5.448132150975789e-55
Cluster-2.31508	6245.88742777008	-9.90802327839967	0.62209144432196	-15.9269563483529	4.1192561474117596e-57	7.29982119698908e-55
Cluster-2.2506	665.721056514691	-7.07903542233409	0.447888318408081	-15.8053584596601	2.8576026797300698e-56	4.96374073397865e-54
Cluster-2.44222	643.475828968025	-5.42162601673096	0.34312988604586	-15.8005065638798	3.08626568859308e-56	5.3083769843801e-54
Cluster-2.2313	505.804214739545	-5.67605167882722	0.362208765336178	-15.6706635013625	2.4006020524616497e-55	3.93608994470908e-53
Cluster-2.6641	1044.25164032346	-7.35289527349103	0.474197331234506	-15.5059819808534	3.16047538271083e-54	4.9506589387749e-52
Cluster-2.24655	4016.20060364137	-12.2964164791115	0.794064912895505	-15.4854046305527	4.35315063130751e-54	6.75855528103176e-52
Cluster-2.46340	544.996170589096	-6.79532255302842	0.439112135881232	-15.4751417639397	5.10606673238668e-54	7.85796796078876e-52
Cluster-9825.0	2070.41704586406	-9.44521545131793	0.61112611278496	-15.4554276993257	6.93497395195646e-54	1.04885502597521e-51
Cluster-2.26695	1547.74361426001	-5.13790157594871	0.33622571947659	-15.2811081316058	1.0218817626822601e-52	1.46949947905718e-50
Cluster-2.39663	1333.24847019998	-7.42006186919076	0.486897863869206	-15.239462769925	1.9345446094772102e-52	2.75932118932262e-50
Cluster-2.4424	342.582809463777	-5.30723596882722	0.350879653748342	-15.1255164331463	1.09934806388836e-51	1.5067939400669799e-49
Cluster-2.25626	876.019584913773	-6.72163964687676	0.445863287500945	-15.0755620283325	2.34511750446777e-51	3.18935980607617e-49
Cluster-2.56515	592.42060234304	-6.33204071944805	0.420807555774587	-15.0473550974924	3.5931514534658e-51	4.84909608458493e-49
Cluster-2.536	17631.0010088774	-12.9991442515951	0.86428961965592	-15.0402642308375	3.99950490409285e-51	5.35628351430572e-49
Cluster-2.12442	525.585669968564	-5.24200634192895	0.34930744879554	-15.0068553075639	6.621328454196521e-51	8.80034745457756e-49
Cluster-2.3587	264.06522848647	-5.10449762701886	0.341415508605239	-14.9509834742772	1.5346588672934998e-50	2.02436505021031e-48
