"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cluster-2.10855",6481.49670602152,12.5123679408622,0.620367677928341,20.1692776494192,1.82281633895401e-90,3.02256091113828e-88
"Cluster-2.536",79445.3715646422,17.3458584644132,0.863341450575703,20.0915390461635,8.75071575968375e-90,1.43795545456425e-87
"Cluster-2.24278",84690.2600588604,5.95759229116197,0.296565652501215,20.0886118837972,9.28209615136227e-90,1.51165565893614e-87
"Cluster-9825.0",5484.45488103732,12.2602427060998,0.610612368975824,20.0786019560394,1.13545531905083e-89,1.83280575393692e-87
"Cluster-2.16524",1511.60618278132,9.36571640857423,0.46816246842839,20.0052696236303,4.9549971029515e-89,7.9279953647224e-87
"Cluster-12037.0",2157.8336030075,5.80523394857711,0.290625880756318,19.9749379975028,9.09967564652487e-89,1.44328768515316e-86
"Cluster-2.38407",3533.66896445978,5.17506187561255,0.259809323924777,19.9186918984898,2.80215849462644e-88,4.4061526674126e-86
"Cluster-2.3206",630.400252452137,4.69467861095295,0.236154115347507,19.879723899982,6.09684129223616e-88,9.50481924533226e-86
"Cluster-2.27081",60831.3314889327,8.5261524857043,0.429062182729527,19.8716009681026,7.16799596040639e-88,1.10800208743909e-85
"Cluster-2.25188",7307.91241737592,3.86123071421194,0.194592715734428,19.8426272002986,1.27612511933489e-87,1.95601026694693e-85
"Cluster-2.36834",32766.2130217343,-15.0280839210349,0.758588191665095,-19.8105956382585,2.4121369049499e-87,3.66644809552385e-85
"Cluster-2.21985",1036.94410431032,4.94799376279514,0.249799069312228,19.8078951071293,2.54503438731975e-87,3.83648158881919e-85
"Cluster-2.30591",899.716285962067,8.11295579004057,0.409654143395201,19.8044031064855,2.7277652066609e-87,4.07823257127007e-85
"Cluster-2.53810",10474.1698414439,4.82388100768844,0.244170260336321,19.7562184724872,7.09232631734252e-87,1.05174009779128e-84
"Cluster-2.26695",2554.60003677734,6.63775848403227,0.336639389369687,19.7177118710339,1.51948712025484e-86,2.23511653818132e-84
