alfalfa_geneid	alfalfa_1_count	alfalfa_4_count	alfalfa_6_count	clover_2_count	clover_3_count	clover_5_count
Cluster-12111.0	426.0	562.0	989.0	557.0	646.0	813.0
Cluster-11116.0	1076.0	1664.0	2699.0	1888.0	2117.0	2910.0
Cluster-2.51040	329.0	672.0	758.0	481.0	599.0	458.0
Cluster-11620.1	153.0	246.0	231.0	399.0	535.0	507.0
Cluster-2.37377	278.0	436.0	609.0	217.0	277.0	478.0
Cluster-2.13055	673.0	965.0	1527.0	655.0	702.0	898.0
Cluster-8982.0	212.0	479.0	848.0	314.0	308.0	423.0
Cluster-2.54382	458.0	808.0	1020.0	865.0	1200.0	1000.0
Cluster-2.11664	1223.991	2316.0	2442.0	1013.0	1275.0	1062.0
Cluster-2.52574	1593.0	2387.0	4031.0	1945.465	2476.867	2104.0
Cluster-2.59152	342.0	528.0	1060.0	278.0	312.0	382.0
Cluster-2.31112	7082.228	8250.871	17978.527	33211.98	42330.988	29536.0
Cluster-2.46202	6176.727	3373.948	12112.0	149.0	71.0	34.0
Cluster-2.29801	3065.227	3751.492	6652.718	3403.0	4053.986	3531.0
Cluster-9580.1	791.0	1843.0	1644.0	411.0	747.0	914.0
Cluster-2.36036	12260.997	16296.0	33970.0	27544.997	38166.0	25258.0
Cluster-2.53732	741.232	1141.641	1299.882	2054.0	2886.0	1804.0
Cluster-2.388	90.0	1265.0	222.0	100.0	33.0	60.0
Cluster-2.33624	308.251	366.334	604.389	375.189	402.0	399.0
Cluster-2.42739	870.0	990.027	2012.0	1122.0	1163.0	881.0
Cluster-8290.0	348.0	538.0	801.0	221.0	324.0	352.0
Cluster-2.55359	861.239	1239.537	2008.804	1077.0	1513.0	1138.0
Cluster-2.44560	499.0	746.0	1248.0	951.335	1159.411	856.805
Cluster-2.8127	470.0	555.0	989.0	434.0	483.0	690.0
Cluster-2.51695	552.575	764.937	1229.97	835.0	1133.0	932.0
Cluster-11928.0	1382.0	1845.0	2923.0	875.0	1153.0	1304.0
Cluster-2.58720	7392.0	10431.0	16955.0	4218.0	6233.0	4467.998
Cluster-2.55980	1244.0	1580.98	3009.0	646.861	929.0	578.0
Cluster-2.52967	893.0	1057.0	2038.0	200.999	309.959	202.0
Cluster-2.48832	763.0	884.0	1920.0	1763.0	1647.0	1487.0
Cluster-2.61588	366.0	932.0	1143.0	432.0	712.0	644.0
Cluster-2.62962	1538.952	2002.865	2696.435	1047.0	1706.0	1660.0
Cluster-10274.0	20.0	95.0	70.0	122.0	271.0	252.0
Cluster-3787.1	330.0	958.0	852.0	919.0	993.0	1355.0
Cluster-2.34477	605.0	766.0	1509.0	287.0	437.0	419.0
Cluster-2.8846	930.0	708.0	1919.0	3.0	44.201	35.987
Cluster-2.61488	443.0	564.0	1065.0	673.0	683.0	856.0
Cluster-2.7962	1662.0	2782.0	3797.0	1885.0	2929.0	2474.0
Cluster-2.14292	607.0	946.0	1708.0	610.0	643.0	422.0
Cluster-11549.0	321.0	327.0	862.0	304.0	166.0	250.0
Cluster-10529.0	339.0	560.0	910.0	739.0	1407.0	1328.0
Cluster-2.53093	502.0	903.0	1200.877	800.984	1365.0	1460.0
Cluster-2.48417	381.0	570.0	887.0	324.0	294.0	273.0
Cluster-2.22863	24157.835	18348.018	45759.224	11120.552	12062.382	15890.281
Cluster-2.18594	716.0	1669.997	1662.0	1146.716	1567.399	1344.378
Cluster-7861.0	120.0	285.0	250.0	26.0	20.0	14.0
Cluster-2.56575	61.0	87.0	368.0	40.471	96.976	74.876
Cluster-1453.2	61.486	174.481	213.194	43.0	51.0	63.0
Cluster-2.36710	5379.181	5301.246	11716.856	3105.0	4504.0	3752.0
Cluster-2.14469	1010.0	1030.0	2647.0	1367.0	1843.0	1361.0
Cluster-2.14474	64.0	114.0	98.0	114.0	123.0	244.0
Cluster-9972.0	188.0	323.0	448.0	272.0	409.0	318.0
Cluster-2.14429	356.0	457.0	810.0	272.0	344.0	324.0
Cluster-2.14433	1860.0	2702.0	4144.0	3504.463	3749.984	3473.943
Cluster-2.41284	339.0	469.0	758.0	332.0	317.0	355.0
Cluster-2.19907	347.0	497.0	886.0	535.0	651.0	513.0
Cluster-2.38074	706.0	2764.0	1954.0	932.0	1527.0	2713.0
Cluster-2.60304	159.0	288.0	385.0	226.0	266.0	194.0
Cluster-2.53044	3572.0	5831.923	7401.85	8337.0	10992.0	7636.0
Cluster-2.52372	1739.0	2120.0	4333.0	3228.005	3629.686	2972.468
Cluster-2.33288	2300.0	3413.0	5250.0	2362.0	3592.0	2766.0
Cluster-2.54988	1371.0	1593.0	2856.0	1640.0	2161.0	1789.0
Cluster-7479.0	1003.0	1635.0	2632.0	1575.0	1586.0	2047.0
Cluster-2.46730	942.0	2611.0	1852.95	873.694	1448.686	1293.208
Cluster-2.21980	108.0	217.0	334.0	240.0	279.0	531.925
Cluster-2.42439	1675.051	2879.084	3589.779	2225.0	2523.0	2523.0
Cluster-2.8480	192.0	327.423	472.769	567.0	515.0	528.0
Cluster-8021.1	283.0	540.0	815.0	255.0	338.0	538.0
Cluster-9124.0	20.0	39.0	65.0	264.0	324.0	718.0
Cluster-2.40267	833.0	1398.0	2053.0	1534.0	2198.0	1621.0
Cluster-2.4225	278.0	271.0	640.0	74.0	96.0	90.0
Cluster-2.6419	3064.948	3724.0	9236.0	6524.986	5278.886	5526.906
Cluster-2.44434	2178.0	3272.0	4660.0	3194.0	4065.0	4035.0
Cluster-2.23435	0.0	10.0	0.0	642.0	414.0	471.0
Cluster-2.37944	913.0	1559.0	1974.993	711.508	972.96	800.994
Cluster-2.9705	1530.0	2117.0	3880.0	2416.0	3075.0	2798.0
Cluster-2.44352	567.474	981.195	1199.225	639.0	806.0	824.0
Cluster-2.31756	597.0	906.0	1823.0	692.0	1058.0	644.0
Cluster-2.5197	2537.0	3324.0	7544.0	2446.0	3191.0	2150.0
Cluster-2.59503	311.0	317.0	661.0	401.0	439.857	348.0
Cluster-2.37623	142.0	451.0	894.0	83.0	92.0	1006.0
Cluster-2.37015	1010.0	1674.0	2114.0	2308.0	2968.0	2652.0
Cluster-2.27081	304.377	159.148	552.162	150225.482	95563.362	111776.443
Cluster-2.51000	108.0	357.0	220.0	151.0	171.0	204.0
Cluster-2.57693	137.0	209.0	347.0	183.0	329.003	199.0
Cluster-2.55340	251.0	415.0	721.002	1828.0	2255.0	2383.0
Cluster-2.48966	174.0	207.0	454.0	640.0	805.0	584.0
Cluster-2.25172	767.915	1172.467	1712.743	768.0	929.0	904.0
Cluster-2.10280	2370.0	4450.0	5732.0	2559.0	2691.0	3230.0
Cluster-2.3860	246.0	644.0	668.0	179.0	201.994	298.798
Cluster-11927.1	1138.0	1407.0	2407.0	935.247	1128.221	1183.242
Cluster-2.16213	1064.0	1663.0	2131.0	1032.0	1664.0	1226.0
Cluster-2.14454	2366.612	4252.686	4691.723	2422.0	2570.0	2811.0
Cluster-2.2676	267.0	598.0	941.0	573.0	1224.0	1756.0
Cluster-2.48320	561.0	826.0	1685.0	476.0	833.0	524.0
Cluster-11213.0	150.0	209.0	353.0	60.0	90.0	105.0
Cluster-2.20917	679.932	1014.016	1607.29	826.04	959.367	900.86
Cluster-2.54546	733.717	1177.075	1930.288	808.0	987.0	1071.0
Cluster-4143.0	219.0	497.0	673.0	230.0	312.0	374.0
Cluster-2.63097	1086.0	2347.0	2362.0	1867.0	3572.0	2968.0
Cluster-2.45320	699.0	853.0	1306.0	161.0	165.0	126.0
Cluster-2.44850	123.0	378.0	283.0	212.724	485.265	331.081
Cluster-2.2964	6.0	2.0	15.0	740.734	444.239	516.626
Cluster-2.47649	448.0	624.0	782.0	377.0	434.0	664.0
Cluster-2.42922	3788.951	3601.0	9425.841	1617.948	1136.68	1218.932
Cluster-12997.0	81.0	208.0	146.0	40.0	32.0	30.0
Cluster-2.31197	5974.0	1685.0	18826.247	2830.0	1035.0	2114.0
Cluster-2.60099	1727.0	1917.961	3556.0	8153.912	2661.812	15505.889
Cluster-11580.0	132.0	319.0	263.0	80.0	179.0	169.0
Cluster-2.48388	417.0	732.0	803.0	261.0	406.899	563.0
Cluster-3502.0	120.0	141.0	217.0	239.0	558.0	241.0
Cluster-2.57980	156.0	224.0	369.0	162.0	202.0	179.0
Cluster-2.8968	620.0	1208.0	1445.0	854.0	1211.0	839.0
Cluster-2.55322	180.0	257.0	351.0	347.0	351.0	397.0
Cluster-2.63445	741.0	1429.0	1521.0	1923.0	2746.0	2297.0
Cluster-2.44214	701.0	1142.0	1660.0	1083.0	1422.0	1087.0
Cluster-2.54020	3118.0	3017.0	6487.0	2543.0	2976.0	2222.0
Cluster-2.28667	1896.978	1480.0	4079.984	2013.962	2177.041	1290.527
Cluster-6570.0	114.0	133.0	370.0	1224.0	1286.0	1848.0
Cluster-2.28701	1376.0	1645.0	3346.0	916.0	1090.0	1000.0
Cluster-2.226	1398.0	2792.0	3684.0	2284.0	2787.0	2669.0
Cluster-2.36133	347.719	360.0	583.788	856.0	895.0	563.0
Cluster-2.22641	1982.777	2668.465	5568.219	1180.0	1952.0	1384.0
Cluster-7410.0	62.0	315.0	133.0	110.584	237.975	304.501
Cluster-13258.0	172.0	278.0	378.0	99.0	111.0	184.0
Cluster-4443.3	737.946	986.952	1758.634	571.0	361.0	492.0
Cluster-2.12739	728.0	1406.0	1769.0	424.0	773.0	704.0
Cluster-2.62261	37.0	70.82	71.0	70.0	76.0	69.0
Cluster-2.60055	584.0	725.0	1110.0	786.0	1394.0	836.0
Cluster-2.27025	3354.287	3308.689	7359.647	1525.509	1576.485	2163.371
Cluster-2.13869	259.0	439.0	773.0	790.0	998.0	1078.0
Cluster-2.13860	395.0	551.903	606.527	267.0	392.0	224.0
Cluster-2.38985	483.526	799.597	1018.276	477.0	490.0	1279.0
Cluster-2.40739	101.89	164.905	296.413	512.56	312.622	914.544
Cluster-2.43309	108.215	181.507	253.692	57.0	56.0	56.0
Cluster-12620.1	121.0	196.765	287.934	121.0	165.0	189.0
Cluster-2.62884	551.0	691.0	1135.0	771.0	1163.0	809.0
Cluster-11023.1	133.0	139.0	343.0	632.949	727.305	540.287
Cluster-2.51227	440.0	736.0	912.0	259.0	266.879	370.759
Cluster-2.57635	1143.0	1830.0	2202.0	902.0	1326.0	1358.0
Cluster-2.6867	139.0	255.0	290.0	164.0	273.0	229.0
Cluster-5588.0	140.0	260.0	508.0	136.484	179.43	140.857
Cluster-7086.0	114.0	306.0	373.0	121.0	88.0	80.0
Cluster-2.39257	963.0	1475.0	2140.0	870.0	1193.0	1046.0
Cluster-2.55995	430.0	717.0	855.0	768.0	840.0	1324.0
Cluster-2.15236	562.0	536.0	933.0	94.0	835.0	382.0
Cluster-2.5986	117.0	93.017	205.649	227.0	296.0	366.0
Cluster-2.52803	156.0	219.0	445.0	204.701	287.605	281.0
Cluster-2.963	797.0	1413.0	1878.0	1275.0	1566.0	1373.0
Cluster-2.46241	2195.999	3135.0	6108.998	1117.0	1516.0	1164.0
Cluster-2.11228	504.0	815.0	1083.0	794.0	1398.0	901.0
Cluster-9513.1	434.0	496.0	979.0	555.0	839.0	594.0
Cluster-2.5619	516.0	475.0	1023.0	528.0	666.0	706.0
Cluster-2.33899	301.0	427.0	680.0	392.0	355.0	790.0
Cluster-2.38688	129.148	318.0	341.0	197.226	163.912	216.181
Cluster-2.48144	915.0	1412.0	2077.0	1268.0	1513.0	1447.0
Cluster-10597.0	165.0	251.0	412.0	106.0	241.0	124.0
Cluster-2.61839	174.666	269.658	384.77	378.0	490.0	355.0
Cluster-12701.1	210.176	306.23	480.731	986.203	1232.409	1027.652
Cluster-12701.0	667.824	848.77	1376.269	300.85	442.087	422.148
Cluster-2.54955	155.0	197.0	353.0	190.0	258.0	229.0
Cluster-12694.0	85.0	98.0	319.0	916.0	373.0	703.0
Cluster-2.59368	2439.0	3747.0	5553.0	2190.0	2889.0	2617.0
Cluster-2.51449	238.0	169.0	640.0	363.0	381.0	341.0
Cluster-11437.0	170.0	327.0	362.0	384.46	515.004	357.0
Cluster-2.45888	32.0	73.0	56.002	364.0	662.0	373.0
Cluster-2.29856	1789.0	3433.0	4333.0	4515.0	6048.0	4369.0
Cluster-2.59040	115.0	331.0	255.0	196.0	227.0	202.0
Cluster-12765.0	303.0	658.0	580.0	197.0	301.0	433.0
Cluster-2.23477	1629.0	2989.0	3729.0	2930.0	2764.0	3478.0
Cluster-2.22596	437.0	1145.0	1097.0	482.0	618.0	793.0
Cluster-2.5466	212.0	511.0	416.0	192.0	270.0	499.0
Cluster-2.36462	920.825	2439.712	2237.943	759.0	1236.0	1091.0
Cluster-2.8726	124.0	160.0	315.0	73.0	81.0	34.0
Cluster-2.61885	463.784	1046.551	1234.296	444.0	679.0	741.0
Cluster-2.59344	1330.0	2190.0	3955.0	2063.0	3237.0	5232.0
Cluster-2.51476	1057.0	1770.0	2860.0	1021.0	1140.0	1041.0
Cluster-2.49927	747.0	979.0	2125.008	2052.0	2782.0	1935.0
Cluster-2.61078	301.0	335.0	607.0	198.0	160.0	153.0
Cluster-2.41619	1034.0	1826.0	2253.0	931.0	1259.0	1100.0
Cluster-2.61412	1556.0	2055.0	3645.0	1391.0	2248.0	2318.0
Cluster-2.45443	998.0	1667.0	2367.0	1637.0	1416.0	1457.0
Cluster-2.59797	205.0	410.0	444.0	397.0	470.0	371.0
Cluster-10162.1	890.0	1152.0	1142.0	1065.0	930.0	819.0
Cluster-2.37324	20.0	17.0	98.0	8.0	6.0	14.0
Cluster-2.42562	1076.0	1017.0	2823.0	1221.0	1528.0	1349.0
Cluster-2.29184	86.352	93.488	161.121	386.89	241.56	426.904
Cluster-2.25557	1231.426	488.115	1635.319	734.0	826.072	1065.0
Cluster-7601.0	234.0	382.0	462.0	352.0	468.0	453.0
Cluster-2.42048	313.0	404.0	763.0	405.0	559.0	429.0
Cluster-2.49954	84.0	380.0	345.0	103.0	43.0	758.0
Cluster-8183.0	505.0	672.0	1333.0	1094.0	1210.0	2178.0
