id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Cluster-12799.0	175.415287327259	-4.633097314767	0.460388706863012	-10.0634469214849	8.01422039393517e-24	2.82332294359836e-22
Cluster-2.30591	262.3088440552	-4.44882084092135	0.443789065601487	-10.0246292343676	1.18804657501647e-23	4.15200978328465e-22
Cluster-2.43287	537.453313811363	-6.37239608346953	0.635863238710628	-10.0216456865649	1.2244685948130701e-23	4.26231687051598e-22
Cluster-2.15689	326.147969372999	-2.50922763276083	0.251210903936161	-9.98852993020753	1.71100316311629e-23	5.89741443884328e-22
Cluster-2.34324	1292.0182392107	-2.62497958124336	0.26306750042411	-9.97834995585332	1.89593323135524e-23	6.49653371306568e-22
Cluster-2.15557	115.277056530156	3.30351611155112	0.33135488160494	9.96972217687066	2.0680650554428302e-23	7.07254061066063e-22
Cluster-2.46605	1226.37895569051	2.57346688220216	0.258562250187664	9.95298764740154	2.44723710726462e-23	8.320606164699689e-22
Cluster-2.52562	1258.46221541805	-5.96000029805753	0.600163598177283	-9.93062610954456	3.06325980086627e-23	1.03548805291711e-21
Cluster-2.26203	2621.37603013413	4.38248030822572	0.441543826708737	9.92535744615134	3.22943538468562e-23	1.08956181517163e-21
Cluster-2.48037	7297.5491027085	-2.53920948095399	0.255894201359142	-9.92288792582005	3.31036735661279e-23	1.11472331870278e-21
Cluster-12542.0	131.978072164479	4.69348920777243	0.473128549976334	9.9201141169925	3.40366801526294e-23	1.14394543409527e-21
Cluster-2.31805	1187.10606128721	-2.9967706961218	0.302566271746199	-9.90451010559293	3.97915382349994e-23	1.33225715037181e-21
Cluster-2.21045	724.899271995707	-6.02033528302256	0.60802682732661	-9.90143035216545	4.10363369256362e-23	1.37131713337783e-21
Cluster-2.51272	416.56961220082	5.04653715441678	0.510702904138251	9.88155170750829	5.00517726196117e-23	1.65994007341865e-21
Cluster-87.0	381.843976014022	-4.24947457445298	0.430808214867213	-9.86395901425136	5.96499556495873e-23	1.96710304871496e-21
Cluster-2.25933	268.546446668352	3.95128175093428	0.400785415658109	9.85884614699885	6.27665172946826e-23	2.0621269277489e-21
Cluster-2.10819	159.146681166759	-4.33840649780423	0.441366158571239	-9.8294951109261	8.40390323062908e-23	2.7507104156372502e-21
Cluster-2.48689	8670.49073144301	-2.92249809734884	0.297379581851334	-9.82750086322288	8.5719533349617e-23	2.80049067613721e-21
Cluster-2.52823	449.821334862419	-4.19047981967769	0.426507793906261	-9.82509553060755	8.779075521000351e-23	2.86282715502658e-21
Cluster-2.16308	275.467141133671	5.37938214321976	0.547539456483328	9.82464748343401	8.818200447353221e-23	2.87025062427393e-21
Cluster-2.58349	1634.04649736016	3.68353850934927	0.375537419609223	9.80871230670513	1.03278027981377e-22	3.3491861791224903e-21
Cluster-2.46942	319.450184880151	-3.70234848765575	0.378444983304574	-9.7830560609548	1.3312884345292399e-22	4.29340520135681e-21
Cluster-1843.0	2351.21033516061	-6.06865291684361	0.621897278361864	-9.75828827041826	1.70000224989944e-22	5.46242481176481e-21
Cluster-2.8573	448.428745797214	3.24861741026137	0.333787096959588	9.73260332664893	2.18917246129633e-22	6.932642899094361e-21
Cluster-2.24292	432.156175973952	-7.40543850067322	0.761537360960738	-9.72432723632979	2.37469942581939e-22	7.49311631772938e-21
Cluster-2.42315	1552.78466940379	3.7467607863917	0.385688943562401	9.71446251942016	2.61625647840715e-22	8.2405033495826e-21
Cluster-2.62593	206.277651393658	-5.18593409991591	0.534389373492275	-9.70441097289311	2.8873920222537097e-22	9.07820889577404e-21
Cluster-2.43712	254.294809147248	-5.00544751235936	0.516438910512753	-9.69223544250304	3.25328728789348e-22	1.0191888764792e-20
Cluster-2.56802	496.736404689001	-11.590680397618	1.19589500176417	-9.69205522267381	3.2590341980439597e-22	1.0191888764792e-20
Cluster-2.54517	439.60704359374	-6.0337844498546	0.622753405626718	-9.68888230130576	3.36187477386593e-22	1.04947919987018e-20
Cluster-2.45176	4430.77741246748	-4.8525316564391	0.500885629315102	-9.68790353014185	3.39424206392716e-22	1.05671179919004e-20
Cluster-2.5880	168.599768951694	-8.36636975478659	0.864382535949348	-9.67901294488538	3.70273451248544e-22	1.1456926682018501e-20
Cluster-2.52679	145.997807739065	-3.74370960569006	0.386854635759242	-9.67730320290113	3.76516555333295e-22	1.1629588814731201e-20
Cluster-1677.0	221.657366138037	-2.78928588861273	0.288461074354659	-9.66953997121754	4.0619984233981003e-22	1.2502403568438e-20
Cluster-2.36762	192.816979515749	3.40002831100512	0.351779016810762	9.66523910900049	4.23629480806661e-22	1.30160343454852e-20
Cluster-2.47649	769.348434647174	2.54187965003315	0.263067191439888	9.66247305914611	4.35228123749773e-22	1.3349024830535001e-20
Cluster-2.34625	6984.7773556931	-4.95260904045937	0.51318780132198	-9.65067569357917	4.8832894568563e-22	1.49255104932207e-20
